type,subtype,tint,name,hex
primary,primary,100,Navy Blue,#00205C
primary,primary,100,White,#FFFFFF
secondary,Blue,100,Blue,#009ADE
secondary,Blue,65,Blue,#79B5E3
secondary,Blue,25,Blue,#C9DDF3
secondary,Blue,10,Blue,#DDEFF9
secondary,Orange,100,Orange,#F26829
secondary,Orange,65,Orange,#FCBC71
secondary,Orange,25,Orange,#FFE3C2
secondary,Orange,10,Orange,#FEECE0
secondary,Yellow,100,Yellow,#F4A81D
secondary,Yellow,65,Yellow,#F8C370
secondary,Yellow,25,Yellow,#FDE5C2
secondary,Yellow,10,Yellow,#FEF3E3
secondary,Magenta,100,Magenta,#A6228C
secondary,Magenta,65,Magenta,#BE73AD
secondary,Magenta,25,Magenta,#E0C3DC
secondary,Magenta,10,Magenta,#F0E4F0
secondary,Purple,100,Purple,#5B2C86
secondary,Purple,65,Purple,#AEA9D4
secondary,Purple,25,Purple,#DBD9ED
secondary,Purple,10,Purple,#E5DFED
secondary,Green,100,Green,#80BC00
secondary,Green,65,Green,#AACF7F
secondary,Green,25,Green,#DCEAC9
secondary,Green,10,Green,#EFF5E7
secondary,Red,100,Red,#EF3842
secondary,Black,100,Black,#000000
secondary,Grey,100,Grey,#E6E7E8
ramp,Blue,150,Blue,#045B81
ramp,Blue,125,Blue,#167BAB
ramp,Blue,100,Blue,#009ADE
ramp,Blue,65,Blue,#79B5E3
ramp,Blue,25,Blue,#C9DDF3
ramp,Blue,10,Blue,#DDEFF9
ramp,Red,150,Red,#8C171E
ramp,Red,125,Red,#BB2932
ramp,Red,100,Red,#EF3842
ramp,Red,65,Red,#F48373
ramp,Red,25,Red,#FBCCBF
ramp,Red,10,Red,#FEE8E1
ramp,Orange,150,Orange,#8D390A
ramp,Orange,125,Orange,#BE511E
ramp,Orange,100,Orange,#F26829
ramp,Orange,65,Orange,#FCBC71
ramp,Orange,25,Orange,#FFE3C2
ramp,Orange,10,Orange,#FEECE0
ramp,Yellow,150,Yellow,#8D6202
ramp,Yellow,125,Yellow,#BF8514
ramp,Yellow,100,Yellow,#F4A81D
ramp,Yellow,65,Yellow,#F8C370
ramp,Yellow,25,Yellow,#FDE5C2
ramp,Yellow,10,Yellow,#FEF3E3
ramp,Magenta,150,Magenta,#630052
ramp,Magenta,125,Magenta,#850F6E
ramp,Magenta,100,Magenta,#A6228C
ramp,Magenta,65,Magenta,#BE73AD
ramp,Magenta,25,Magenta,#E0C3DC
ramp,Magenta,10,Magenta,#F0E4F0
ramp,Purple,150,Purple,#33034F
ramp,Purple,125,Purple,#491C6C
ramp,Purple,100,Purple,#5B2C86
ramp,Purple,65,Purple,#AEA9D4
ramp,Purple,25,Purple,#DBD9ED
ramp,Purple,10,Purple,#E5DFED
ramp,Green,150,Green,#437022
ramp,Green,125,Green,#629633
ramp,Green,100,Green,#80BC00
ramp,Green,65,Green,#AACF7F
ramp,Green,25,Green,#DCEAC9
ramp,Green,10,Green,#EFF5E7
grey,Black,100,Black,#000000
grey,Grey,90,Grey,#1A1A1A
grey,Grey,80,Grey,#343434
grey,Grey,70,Grey,#4E4E4E
grey,Grey,50,Grey,#828282
grey,Grey,30,Grey,#B2B2B2
grey,Grey,20,Grey,#CCCCCC
grey,Grey,10,Grey,#E6E7E8
diverging,diverging,100,,#009ADE
diverging,diverging,100,,#79B5E3
diverging,diverging,100,,#FEF3E3
diverging,diverging,100,,#FCBC71
diverging,diverging,100,,#F26829
qualitative,qualitative,100,Navy Blue,#00205C
qualitative,qualitative,100,Blue,#009ADE
qualitative,qualitative,100,Yellow,#F4A81D
qualitative,qualitative,100,Purple,#5B2C86
qualitative,qualitative,100,Orange,#F26829
